Fecha,Hora,BPM,SpO2
2026-01-05,00:14:43,51,99
2026-01-05,00:15:23,115,96
2026-01-05,00:16:03,93,100
2026-01-05,00:24:12,125,99
2026-01-05,00:24:22,125,99
2026-01-05,00:24:32,68,98
2026-01-05,00:24:42,115,98
2026-01-05,00:24:52,100,100
2026-01-05,00:41:40,115,99
2026-01-05,00:42:20,107,99
2026-01-05,00:44:20,60,47
2026-01-05,00:46:00,125,93
2026-01-05,00:46:40,48,92
2026-01-05,00:47:50,65,93
2026-01-05,00:49:40,88,83
2026-01-05,00:49:59,125,95
2026-01-05,07:49:29,107,99
2026-01-05,07:49:39,53,98
2026-01-05,07:50:49,83,100
2026-01-05,07:51:39,93,100
2026-01-05,07:51:49,125,100
2026-01-05,07:56:08,115,100
2026-01-05,07:56:18,107,100
2026-01-05,07:59:08,107,85
2026-01-05,07:59:38,57,97
2026-01-05,08:00:58,53,89
